"Alimento","Cantidad_sugerida","Unidad","Racion","Energia Total","Proteina Total","Lipidos Totales","Carbohidratos Totales","Colesterol Total","Sodio Total","CG Totales"
"Berro crudo","2","taza",2,68,2.6,0.2,1.4,0,0,0.2
"Cebolla blanca rebanada"," 1/2","taza",2,46,1.2,0.2,10.8,0,0,1.6
"Soya cocida"," 1/3","taza",4,392,37.6,20.4,22.4,0,2.4,4
"Cebolla cocida"," 1/4","taza",2,46,1.4,0.2,10.6,0,0,1.6
"Cereza","20","pieza",2,112,1.8,0.4,29.4,0,0,6.5
"Calabacita alargada cruda","1","pieza",8,168,12.8,0.8,27.2,0,0,4.1
"Calabacita redonda cruda","1","pieza",0.5,9,0.7,0,1.4,0,0,0.2
"Cebollita de cambray sin raiz","3","pieza",8,184,10.4,0.8,42.4,0,0,6.4
"Queso panela","40","g",3,174,18.3,8.4,6,0,0,0
"Queso fresco","40","g",0.5,29,3,1.4,1,0,0,0
"Riñones de cerdo cocidos","28","g",0.5,21,3.5,0.7,0,67.2,11.2,0
"Falafel, hecho en casa","20","g",2,134,5.4,7,12.8,0,0,0
"Aceite de oliva extra virgen","1","Cucharadita",3,132,0,2.1,11.1,0,0,0
"Aceite de olivo","1","Cucharadita",1,44,0,0.7,3.7,0,0,0
"Harina de trigo integral","2 1/2","cucharada",1,64,2.6,0.3,13.6,0,0.4,4.1
"Leche entera baja en sodio","","",1.5,220.5,11.2,12.5,16,48.8,8.9,5
"Total","-","-",41,1843.5,112.5,56.1,209.8,116,22.9,33.7
