Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Fresa rebanada,1,taza,166,166,53,1.1,0.5,12.7,3.3,44.8,97.6,39.8,0.7,254,0,0,0,0,0,0,0,0,8.1,40,5.08,Frutas
Mango picado,1,taza,165,165,58,1.3,0,14.9,1.8,226.1,46.2,0,0.2,257.4,0,0,0,0,0,0,0,0,0,51,7.599,Frutas
Sandía picada,1,taza,160,160,48,1,0.2,12.1,0.6,59,15,4,0.3,186,0,0,0,0,0,0,0,0,9.9,72,8.712,Frutas
Apio crudo,1 1/2,taza,152,135,22,0.9,0.2,4,2.5,29.7,4.2,48.5,0.3,350.6,0,0,0,0,0,0,0,0,0,15,0.6,Verduras
Papaya picada,1,taza,140,140,55,0.8,0.1,13.7,2.5,29.4,86.5,53.2,0.1,359.8,0,0,0,0,0,0,0,0,0,59,8.083,Frutas
Frijoles enteros enlatados, 1/2,taza,128,128,108,6.7,0.8,18.6,6.8,0,0,0,1.5,303.4,0,1.2,115.2,378.9,0,0,0,0,2.4,45,8.37,Leguminosas
Piña picada, 3/4,taza,124,124,62,0.7,0.1,16.2,1.7,2.4,19.2,12.8,0.5,139.7,0,0,0,0,0,0,0,0,12.2,59,9.558,Frutas
Jugo de naranja natural, 1/2,taza,120,120,54,0.8,0.2,12.5,0.2,24.2,60,36.3,0.2,240,0,0,0,0,0,0,0,0,10.1,46,5.75,Frutas
Jugo de toronja natural, 1/2,taza,120,120,47,0.6,0.1,11,0.1,1,45.7,12.1,0.2,194.3,0,0,0,0,0,0,0,0,10.1,48,5.28,Frutas
Acelga cruda,2,taza,120,98,22,2.2,0.1,4.3,3.6,310.9,29.5,14.8,2.5,749.8,0,0,0,0,0,0,0,0,0,64,2.752,Verduras
Apio cocido, 3/4,taza,113,113,20,0.9,0.2,4.5,1.8,29.3,6.9,24.8,0.5,319.5,0,0,0,0,0,0,0,0,0,15,0.675,Verduras
Calabaza de Castilla cocida, 1/2,taza,110,110,22,0.8,0.1,5.4,1.2,275,5.2,9.9,0.6,253,0,0,0,0,0,0,0,0,0,75,4.05,Verduras
Puré de papa, 1/2,taza,105,105,119,2,4.4,17.5,1.6,0,0,8.4,0.3,0,25.2,0,0,332.9,0,0,0,0,1.5,74,12.95,Cereales con grasa
Puré de papa preparado,1 1/2,taza,105,105,119,1.6,4.4,17.5,1.6,0,0,8.4,0.3,0,25.2,0,0,332.9,0,0,0,0,1.5,85,14.875,Cereales con grasa
Champiñón crudo rebanado,1 1/2,taza,105,105,23,3.2,0.4,3.4,1.1,0,2.2,16.8,0.5,333.9,0,0,0,0,0,0,0,0,0,15,0.51,Verduras
Lenteja cocida, 1/2,taza,99,99,115,9,0.4,20,7.8,0,0,0,3.3,365.5,0,2.8,178,2,0,0,0,0,1.8,26,5.2,Leguminosas
Berenjena picada cocida,1,taza,99,99,35,0.8,0.2,8.6,2.5,2,1.3,13.9,0.4,245.4,0,0,0,0,0,0,0,0,0,20,1.72,Verduras
Alverjón o chícharo seco cocido, 1/2,taza,98,98,116,8.2,0.4,20.7,0,0,0,0,1.3,354.8,0,0.6,97,2,0,0,0,0,2.8,22,4.554,Leguminosas
Champiñón crudo entero,1,taza,96,93,20,2.9,0.3,3.1,0.9,0,2,14.9,0.5,296.1,0,0,0,0,0,0,0,0,0,15,0.465,Verduras
Brócoli cocido, 1/2,taza,92,92,26,2.7,0.4,4.6,2.7,127.4,68.4,46,0.8,268.9,0,0,0,0,0,0,0,0,0,45,2.07,Verduras
Uva blanca,1,taza,92,87,59,0.6,0.3,15,0.8,8.6,3.8,3.8,0.3,167.2,0,0,0,0,0,0,0,0,14.3,43,6.45,Frutas
Alubia cocida, 1/2,taza,90,90,124,8.7,0.3,22.5,5.6,0,0,0,3.3,502.1,0,1.2,101.1,5.4,0,0,0,0,0.3,28,6.3,Leguminosas
Brócoli crudo,1,taza,88,71,19,2.1,0.3,3.7,2.1,110.2,66.4,50.2,0.6,213.7,0,0,0,0,0,0,0,0,0,15,0.555,Verduras
Frijol promedio cocido, 1/2,taza,86,86,114,7.6,0.5,20.4,7.5,0,0,0,1.8,305.3,0,1,120.4,1,0,0,0,0,0.3,43,8.772,Leguminosas
Alubia enlatada guisada, 1/3,taza,86,86,99,6.3,0.3,18.3,4.2,0,0,0,2.6,392.5,0,1.4,78.7,299.9,0,0,0,0,3,52,9.516,Leguminosas
Ibes o habas de lima cocido, 1/2,taza,85,85,105,5.8,0.3,20.1,4.5,0,0,0,2.1,484.5,0,1.7,110.5,14.5,0,0,0,0,1.4,32,6.432,Leguminosas
Garbanzo cocido, 1/2,taza,82,82,135,7.3,2.1,22.5,6.3,0,0,0,2.4,238.5,0,3,138,5.5,0,0,0,0,4,31,6.975,Leguminosas
Elote enlatado, 1/2,taza,82,82,66,2.1,0.8,15.2,1.6,0,0,40,0.7,0,4,0,0,175,0,0,0,0,2.3,46,6.992,Cereales sin grasa
Jugo de frutas, 1/3,taza,80,80,40,0,0,10,0,0,0,0,0,0,0,0,0,53.3,0,0,0,0,10,50,5,Azúcares sin grasa
Jugo de citricos preparado con agua, 1/3,taza,80,80,37,0.2,0,9.2,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,6.5,50,5,Azúcares sin grasa
Arúgula cruda,4,taza,80,80,20,2.1,0.5,2.9,3.5,95.2,12,77.6,1.2,295.2,0,0,0,0,0,0,0,0,0,15,0.435,Verduras
Chayote cocido picado, 1/2,taza,80,80,19,0.5,0.4,4.1,2.2,1.6,6.4,14.4,0.2,138.4,0,0,0,0,0,0,0,0,0,50,2.05,Verduras
Champiñón cocido entero, 1/2,taza,78,78,20,2.8,0.3,3.2,1.4,0,0,15.6,0.2,308.9,0,0,0,0,0,0,0,0,0,15,0.48,Verduras
Avena instantanea preparada, 1/3,taza,77,77,68,4.8,2,18.2,4.3,0,0,54.8,4.6,0,61.8,0,0,37.8,0,0,0,0,0.4,65,11.83,Cereales sin grasa
Chícharo crudo con vaina, 1/2,taza,73,28,22,1.5,0.1,4,1.4,10.5,11,17.9,0.4,67.2,0,0,0,0,0,0,0,0,0,48,1.92,Verduras
Acelga picada cocida, 1/2,taza,72,72,19,1.9,0.1,3.9,2.1,275.8,17.9,10.1,1.4,645.5,0,0,0,0,0,0,0,0,0,64,2.496,Verduras
Champiñón cocido rebanado, 1/2,taza,70,70,18,2.5,0.2,2.8,1.3,0,0,14,0.2,277.2,0,0,0,0,0,0,0,0,0,15,0.42,Verduras
Berro crudo,2,taza,68,56,34,1.3,0.1,0.7,0.3,46.3,6.7,35.7,1.2,100.4,0,0,0,0,0,0,0,0,0,15,0.105,Verduras
Zanahoria picada cruda, 1/2,taza,64,64,26,0.6,0.2,4.3,1.8,534.4,3.8,12.2,0.2,204.8,0,0,0,0,0,0,0,0,0,47,2.021,Verduras
Néctar de fruta, 1/4,taza,63,63,38,0.1,0,9.9,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,9.5,54,5,Azúcares sin grasa
Flan casero, 1/5,taza,61,61,89,2.8,2.5,13.9,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0,14.2,65,9,Azúcares con grasa
Cebolla blanca rebanada, 1/2,taza,58,58,23,0.6,0.1,5.4,1,0,4.3,10.9,0.1,84,0,0,0,0,0,0,0,0,0,15,0.81,Verduras
Soya cocida, 1/3,taza,57,57,98,9.4,5.1,5.6,3.4,0,0,0,2.9,292.3,0,4.1,139.1,0.6,0,0,0,0,1.7,18,1.008,Leguminosas
Queso cottage 1% grasa, 1/4,taza,57,57,41,7,0.6,1.5,0,6.3,0,0,0.1,0,34.5,5.1,0,229.5,2.5,0,0,0,0,0,0,AOAMBG
Queso cottage bajo en grasa, 1/4,taza,57,57,41,7,0.6,1.5,0,6.3,0,0,0.1,0,34.5,5.1,0,229.5,2.5,0,0,0,0,0,0,AOAMBG
Arroz salvaje cocido, 1/3,taza,54,54,55,2.1,0.2,11.6,1,0,0,14.1,0.3,0,1.7,0,0,1.7,0,0,0,0,0.4,54,6.264,Cereales sin grasa
Rambután en almibar, 1/4,taza,54,54,44,0.4,0.1,11.2,0.5,0,2.5,4.3,0.2,22.5,0,0,0,0,0,0,0,0,0,33,3.696,Frutas
Cebolla cocida, 1/4,taza,53,53,23,0.7,0.1,5.3,0.7,0,2.7,7.9,0.1,87,0,0,0,0,0,0,0,0,0,15,0.795,Verduras
Chícharo en vaina cocido, 1/3,taza,53,53,21,1.7,0.1,3.4,1.5,27.7,25.5,15.5,1.1,128,0,0,0,0,0,0,0,0,0,48,1.632,Verduras
Arroz precocido cocido, 1/3,taza,52,52,64,1.5,0.2,13.6,0.5,0,0,1.6,0.1,0,9.9,0,0,1,0,0,0,0,0.1,48,6.528,Cereales sin grasa
